구분	코드	수가명	금액
외래	WEGO3X	(직원)위고비프리필드펜1.0 / 3ml	247000
외래	SHIN1	(비급여)싱그릭스주[대상포진바이러스 백신]	250000
외래	WEGO1	(비급여)위고비프리필드펜0.25 / 1.5ml	260000
외래	MOUN1X	(직원)마운자로프리필드펜주2.5mg/0.5mL	280000
외래	WEGO2	(비급여)위고비프리필드펜0.5 / 1.5ml	280000
외래	EZ985A	(비급여)수술 중 초음파(갑상선 또는 SMG)	300000
외래	EZ985C	(비급여)코뼈골절 초음파(Intra op USG)	300000
외래	WEGO3	(비급여)위고비프리필드펜1.0 / 3ml	300000
입원	EZ985A	(비급여)수술 중 초음파(갑상선 또는 SMG)	300000
입원	EZ985C	(비급여)코뼈골절 초음파(Intra op USG)	300000
입원	EZ985D	(비급여)수술 중 초음파(편도)	300000
입원	FZ688G	(비급여)VDL(full acoustic analysis) B	300000
외래	WEGO4X	(직원)위고비프리필드펜1.7 / 3ml	321000
외래	MOUN1	(비급여)마운자로프리필드펜주2.5mg/0.5mL	340000
외래	MOUN1	(비급여)마운자로프리필드펜주2.5mg/0.5mL	340000
외래	MOUN1	(비급여)마운자로프리필드펜주2.5mg/0.5mL	340000
외래	MOUN2X	(직원)마운자로프리필드펜주5mg/0.5mL	370000
외래	MOUN2X	(직원)마운자로프리필드펜주5mg/0.5mL	370000
외래	WEGO5X	(직원)위고비프리필드펜2.4 / 3ml	373000
외래	DSE	(비급여)약물유도 수면상기도 내시경검사	400000
입원	DSE	(비급여)약물유도 수면상기도 내시경검사	400000
외래	MOUN2	(비급여)마운자로프리필드펜주5mg/0.5mL	440000
외래	MOUN2	(비급여)마운자로프리필드펜주5mg/0.5mL	440000
외래	MOUN2	(비급여)마운자로프리필드펜주5mg/0.5mL	440000
외래	WEGO5	(비급여)위고비프리필드펜2.4 / 3ml	440000
외래	WEGO5	(비급여)위고비프리필드펜2.4 / 3ml	440000
입원	EZ985B	(비급여)수술 중 초음파(이하선)	500000
입원	F6290	수면다원검사	526000
외래	MOUN3X	(직원)마운자로프리필드펜주7.5mg/0.5mL	530000
외래	MOUN3X	(직원)마운자로프리필드펜주7.5mg/0.5mL	530000
외래	MOUN3	(비급여)마운자로프리필드펜주7.5mg/0.5mL	580000
외래	MOUN3	(비급여)마운자로프리필드펜주7.5mg/0.5mL	580000
외래	DUPI300	(본부100)듀피젠트프리필드주300밀리그램(0.3g/2ml)	676000
